Nro_Pedido,Fecha_Venta,Producto,Precio_Unitario,Cantidad_toneladas,Total_Venta,País,Cliente,Tipo_Cliente,Moneda,Incoterm,Medio_Transporte
10107,2024-02-24,Harina galletera especial (50 kg),73.65,11,16203.0,Colombia,Supermercado Cafetal,Exportación,USD,CIF,Aéreo
10121,2024-05-07,Harina galletera especial (50 kg),73.65,8,11784.0,Venezuela,Supermercado Orinoco,Exportación,USD,FOB,Aéreo
10134,2024-07-01,Harina galletera especial (50 kg),73.65,15,22095.0,Guatemala,Supermercado Quetzal,Exportación,USD,FOB,Marítimo
10145,2024-08-25,Harina galletera especial (50 kg),73.65,12,17676.0,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10159,2024-10-10,Harina galletera especial (50 kg),73.65,9,13257.0,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10168,2024-10-28,Harina galletera especial (50 kg),73.65,11,16203.0,Venezuela,Supermercado Orinoco,Exportación,USD,FOB,Aéreo
10180,2024-11-11,Harina galletera especial (50 kg),73.65,14,20622.0,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10188,2024-11-18,Harina galletera especial (50 kg),73.65,7,10311.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10201,2024-12-01,Harina galletera especial (50 kg),73.65,11,16203.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10211,2024-01-15,Harina galletera especial (50 kg),73.65,15,22095.0,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10223,2024-02-20,Harina galletera especial (50 kg),73.65,15,22095.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10237,2024-04-05,Harina galletera especial (50 kg),73.65,12,17676.0,El Salvador,Mercado Centro,Exportación,USD,FOB,Marítimo
10251,2024-05-18,Harina galletera especial (50 kg),73.65,9,13257.0,EEUU,Andes Bakery LA,Exportación,USD,FOB,Marítimo
10263,2024-06-28,Harina galletera especial (50 kg),73.65,8,11784.0,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10275,2024-07-23,Harina galletera especial (50 kg),73.65,12,17676.0,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10285,2024-08-27,Harina galletera especial (50 kg),73.65,12,17676.0,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10299,2024-09-30,Harina galletera especial (50 kg),73.65,7,10311.0,Guatemala,Supermercado Quetzal,Exportación,USD,FOB,Marítimo
10309,2024-10-15,Harina galletera especial (50 kg),73.65,10,14730.0,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10318,2024-11-02,Harina galletera especial (50 kg),73.65,9,13257.0,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10329,2024-11-15,Harina galletera especial (50 kg),73.65,6,8838.0,Panamá,Canal Market,Exportación,USD,CIF,Marítimo
10341,2024-11-24,Harina galletera especial (50 kg),73.65,12,17676.0,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10361,2024-12-17,Harina galletera especial (50 kg),73.65,10,14730.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10375,2024-02-03,Harina galletera especial (50 kg),73.65,6,8838.0,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10388,2024-03-03,Harina galletera especial (50 kg),73.65,9,13257.0,Perú,Panadería San José,Nacional,PEN,,Terrestre
10403,2024-04-08,Harina galletera especial (50 kg),73.65,5,7365.0,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10417,2024-05-13,Harina galletera especial (50 kg),73.65,14,20622.0,Panamá,Canal Market,Exportación,USD,FOB,Marítimo
10103,2024-01-29,Harina integral (25 kg),61.08,10,12216.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10112,2024-03-24,Harina integral (25 kg),61.08,13,15880.8,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10126,2024-05-28,Harina integral (25 kg),61.08,5,6108.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10140,2024-07-24,Harina integral (25 kg),61.08,15,18324.0,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10150,2024-09-19,Harina integral (25 kg),61.08,15,18324.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10163,2024-10-20,Harina integral (25 kg),61.08,14,17102.4,Perú,Panadería San José,Nacional,PEN,,Terrestre
10174,2024-11-06,Harina integral (25 kg),61.08,7,8551.2,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10183,2024-11-13,Harina integral (25 kg),61.08,11,13437.6,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Aéreo
10194,2024-11-25,Harina integral (25 kg),61.08,8,9772.8,Perú,Panadería San José,Nacional,PEN,,Terrestre
10206,2024-12-05,Harina integral (25 kg),61.08,13,15880.8,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10215,2024-01-29,Harina integral (25 kg),61.08,7,8551.2,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Marítimo
10228,2024-03-10,Harina integral (25 kg),61.08,9,10994.4,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10245,2024-05-04,Harina integral (25 kg),61.08,7,8551.2,Perú,Panadería San José,Nacional,PEN,,Terrestre
10258,2024-06-15,Harina integral (25 kg),61.08,11,13437.6,Perú,Panadería San José,Nacional,PEN,,Terrestre
10270,2024-07-19,Harina integral (25 kg),61.08,9,10994.4,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10280,2024-08-17,Harina integral (25 kg),61.08,13,15880.8,Panamá,Canal Market,Exportación,USD,FOB,Aéreo
10291,2024-09-08,Harina integral (25 kg),61.08,11,13437.6,Guatemala,Panadería Chapina,Exportación,USD,CIF,Aéreo
10304,2024-10-11,Harina integral (25 kg),61.08,6,7329.6,Perú,Panadería San José,Nacional,PEN,,Terrestre
10312,2024-10-21,Harina integral (25 kg),61.08,8,9772.8,Colombia,Supermercado Cafetal,Exportación,USD,FOB,Marítimo
10322,2024-11-04,Harina integral (25 kg),61.08,13,15880.8,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Aéreo
10333,2024-11-18,Harina integral (25 kg),61.08,6,7329.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10347,2024-11-29,Harina integral (25 kg),61.08,14,17102.4,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10357,2024-12-10,Harina integral (25 kg),61.08,13,15880.8,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10369,2024-01-20,Harina integral (25 kg),61.08,14,17102.4,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10381,2024-02-17,Harina integral (25 kg),61.08,9,10994.4,Guatemala,Panadería Chapina,Exportación,USD,CIF,Marítimo
10391,2024-03-09,Harina integral (25 kg),61.08,6,7329.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10411,2024-05-01,Harina integral (25 kg),61.08,8,9772.8,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10424,2024-05-31,Harina integral (25 kg),61.08,11,13437.6,Panamá,Canal Market,Exportación,USD,FOB,Aéreo
10107,2024-02-24,Harina panadera especial Don Angelo (50 kg),64.41,12,15458.4,Venezuela,Panadería El Ávila,Exportación,USD,DAP,Marítimo
10120,2024-04-29,Harina panadera especial Don Angelo (50 kg),64.41,7,9017.4,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10134,2024-07-01,Harina panadera especial Don Angelo (50 kg),64.41,5,6441.0,Colombia,Pastelería Antioqueña,Exportación,USD,CIF,Aéreo
10145,2024-08-25,Harina panadera especial Don Angelo (50 kg),64.41,8,10305.6,Perú,Panadería San José,Nacional,PEN,,Terrestre
